GeneSymbol,EntrezID,logFC,CI,AveExpr,PValue,adjPVal,StudyName,BrainRegion,Contrast,StratFactor
APOE,348,-0.009,-0.334 to 0.316,10.071,9.5471e-01,9.9993e-01,MSBB,Amygdala,AD-NCI,CpDxAll
APOE,348,-0.04,-0.346 to 0.267,10.073,7.9651e-01,9.9993e-01,MSBB,Amygdala,C3-C0,CERAD
APOE,348,-0.308,-0.593 to -0.023,10.071,3.4745e-02,4.4289e-01,MSBB,Amygdala,B3-B2,Braak
APOE,348,-0.16,-0.556 to 0.236,10.073,4.2039e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
APOE,348,0.088,-0.202 to 0.377,10.071,5.4544e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
APOE,348,-0.153,-0.491 to 0.184,10.071,3.6620e-01,9.9987e-01,MSBB,Amygdala,AD-DNAD,CpDxAll
APOE,348,0.144,-0.255 to 0.543,10.071,4.7185e-01,9.7160e-01,MSBB,Amygdala,DNAD-NCI,CpDxAll
APOE,348,-0.026,-0.28 to 0.227,10.073,8.3630e-01,9.9162e-01,MSBB,Amygdala,AD-NCI,CDR
APOE,348,-0.169,-0.525 to 0.186,10.005,3.3981e-01,9.1107e-01,MSBB,Amygdala,AD-NCI,CpDxLow
APOE,348,-0.059,-0.394 to 0.276,10.073,7.2508e-01,9.9992e-01,MSBB,Amygdala,C2-C0,CERAD
APOE,348,0.143,-0.305 to 0.592,10.071,5.2384e-01,9.9997e-01,MSBB,Amygdala,PC-NCI,CpDxAll
APOE,348,-0.22,-0.51 to 0.069,10.071,1.3305e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
APOE,348,-0.3,-1.188 to 0.589,10.005,4.9833e-01,9.9992e-01,MSBB,Amygdala,AD-PC,CpDxLow
APOE,348,-0.153,-0.547 to 0.242,10.071,4.4128e-01,9.5808e-01,MSBB,Amygdala,AD-PC,CpDxAll
APOE,348,-0.314,-0.68 to 0.053,10.005,9.1339e-02,9.9559e-01,MSBB,Amygdala,AD-DNAD,CpDxLow
APOE,348,0.13,-0.77 to 1.03,10.005,7.7106e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
APOE,348,0.144,-0.25 to 0.538,10.005,4.6323e-01,9.4582e-01,MSBB,Amygdala,DNAD-NCI,CpDxLow
APP,351,-0.26,-0.598 to 0.077,5.874,1.2720e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
APP,351,-0.145,-0.581 to 0.292,9.574,5.0944e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
APP,351,-0.013,-0.152 to 0.125,11.032,8.5000e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
APP,351,-0.137,-0.275 to 0.002,11.032,5.2710e-02,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
APP,351,-0.324,-0.76 to 0.112,9.574,1.4240e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
APP,351,-0.032,-0.369 to 0.306,5.874,8.5171e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
APP,351,-0.124,-0.26 to 0.013,11.032,7.4488e-02,5.4795e-01,MSBB,Amygdala,B3-B2,Braak
APP,351,0.229,-0.103 to 0.561,5.874,1.7251e-01,6.8122e-01,MSBB,Amygdala,B3-B2,Braak
APP,351,-0.179,-0.609 to 0.25,9.574,4.0596e-01,8.3774e-01,MSBB,Amygdala,B3-B2,Braak
APP,351,-0.112,-0.23 to 0.006,11.029,6.2120e-02,8.2090e-01,MSBB,Amygdala,AD-NCI,CDR
APP,351,0.061,-0.228 to 0.35,5.872,6.7372e-01,9.7797e-01,MSBB,Amygdala,AD-NCI,CDR
APP,351,-0.012,-0.385 to 0.36,9.575,9.4702e-01,9.9790e-01,MSBB,Amygdala,AD-NCI,CDR
APP,351,-0.337,-0.78 to 0.106,5.872,1.3275e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
APP,351,0.22,-0.351 to 0.792,9.575,4.4250e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
APP,351,0.039,-0.152 to 0.229,11.029,6.8438e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
APP,351,-0.124,-0.499 to 0.251,5.872,5.0984e-01,9.9992e-01,MSBB,Amygdala,C2-C0,CERAD
APP,351,0.032,-0.129 to 0.193,11.029,6.9103e-01,9.9992e-01,MSBB,Amygdala,C2-C0,CERAD
APP,351,0.004,-0.479 to 0.487,9.575,9.8659e-01,9.9992e-01,MSBB,Amygdala,C2-C0,CERAD
APP,351,0.309,-0.134 to 0.751,9.575,1.6744e-01,9.9993e-01,MSBB,Amygdala,C3-C0,CERAD
APP,351,-0.023,-0.171 to 0.124,11.029,7.5157e-01,9.9993e-01,MSBB,Amygdala,C3-C0,CERAD
APP,351,0.006,-0.337 to 0.349,5.872,9.7263e-01,9.9993e-01,MSBB,Amygdala,C3-C0,CERAD
APP,351,-0.282,-0.662 to 0.098,5.874,1.4286e-01,9.9987e-01,MSBB,Amygdala,AD-DNAD,CpDxAll
APP,351,0.081,-0.413 to 0.576,9.574,7.4249e-01,9.9987e-01,MSBB,Amygdala,AD-DNAD,CpDxAll
APP,351,-0.001,-0.155 to 0.154,11.032,9.9264e-01,9.9987e-01,MSBB,Amygdala,AD-DNAD,CpDxAll
APP,351,-0.177,-0.326 to -0.028,11.032,2.0596e-02,9.9993e-01,MSBB,Amygdala,AD-NCI,CpDxAll
APP,351,-0.145,-0.621 to 0.331,9.574,5.4325e-01,9.9993e-01,MSBB,Amygdala,AD-NCI,CpDxAll
APP,351,-0.087,-0.453 to 0.278,5.874,6.3328e-01,9.9993e-01,MSBB,Amygdala,AD-NCI,CpDxAll
APP,351,0.271,-0.307 to 0.849,9.574,3.5120e-01,9.4788e-01,MSBB,Amygdala,AD-PC,CpDxAll
APP,351,-0.046,-0.227 to 0.134,11.032,6.0938e-01,9.7376e-01,MSBB,Amygdala,AD-PC,CpDxAll
APP,351,0.102,-0.343 to 0.546,5.874,6.4844e-01,9.7676e-01,MSBB,Amygdala,AD-PC,CpDxAll
APP,351,-0.176,-0.359 to 0.006,11.032,5.8172e-02,9.1004e-01,MSBB,Amygdala,DNAD-NCI,CpDxAll
APP,351,0.194,-0.255 to 0.643,5.874,3.8943e-01,9.6531e-01,MSBB,Amygdala,DNAD-NCI,CpDxAll
APP,351,-0.226,-0.811 to 0.358,9.574,4.4023e-01,9.6822e-01,MSBB,Amygdala,DNAD-NCI,CpDxAll
APP,351,-0.131,-0.336 to 0.075,11.032,2.0688e-01,9.9997e-01,MSBB,Amygdala,PC-NCI,CpDxAll
APP,351,-0.416,-1.073 to 0.241,9.574,2.0921e-01,9.9997e-01,MSBB,Amygdala,PC-NCI,CpDxAll
APP,351,-0.189,-0.694 to 0.316,5.874,4.5577e-01,9.9997e-01,MSBB,Amygdala,PC-NCI,CpDxAll
APP,351,-0.169,-0.606 to 0.268,5.966,4.3747e-01,9.9611e-01,MSBB,Amygdala,AD-DNAD,CpDxLow
APP,351,-0.056,-0.224 to 0.111,11.013,4.9731e-01,9.9652e-01,MSBB,Amygdala,AD-DNAD,CpDxLow
APP,351,-0.051,-0.61 to 0.509,9.531,8.5477e-01,9.9797e-01,MSBB,Amygdala,AD-DNAD,CpDxLow
APP,351,-0.233,-0.395 to -0.071,11.013,6.0836e-03,6.1574e-01,MSBB,Amygdala,AD-NCI,CpDxLow
APP,351,-0.277,-0.819 to 0.265,9.531,3.0653e-01,9.0330e-01,MSBB,Amygdala,AD-NCI,CpDxLow
APP,351,0.025,-0.398 to 0.448,5.966,9.0489e-01,9.9531e-01,MSBB,Amygdala,AD-NCI,CpDxLow
APP,351,0.8,-0.555 to 2.156,9.531,2.3882e-01,9.9992e-01,MSBB,Amygdala,AD-PC,CpDxLow
APP,351,0.208,-0.197 to 0.613,11.013,3.0448e-01,9.9992e-01,MSBB,Amygdala,AD-PC,CpDxLow
APP,351,0.068,-0.99 to 1.126,5.966,8.9712e-01,9.9992e-01,MSBB,Amygdala,AD-PC,CpDxLow
APP,351,-0.176,-0.356 to 0.003,11.013,5.4281e-02,8.8001e-01,MSBB,Amygdala,DNAD-NCI,CpDxLow
APP,351,0.194,-0.276 to 0.664,5.966,4.0724e-01,9.3808e-01,MSBB,Amygdala,DNAD-NCI,CpDxLow
APP,351,-0.226,-0.828 to 0.375,9.531,4.5026e-01,9.4462e-01,MSBB,Amygdala,DNAD-NCI,CpDxLow
APP,351,-0.441,-0.851 to -0.03,11.013,3.5967e-02,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
APP,351,-1.078,-2.451 to 0.296,9.531,1.2022e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
APP,351,-0.043,-1.115 to 1.03,5.966,9.3588e-01,9.9994e-01,MSBB,Amygdala,PC-NCI,CpDxLow
BIN1,274,-0.14,-0.452 to 0.173,8.384,3.7469e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
BIN1,274,-0.077,-0.366 to 0.212,8.43,5.9413e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
BIN1,274,-0.055,-0.278 to 0.169,4.874,6.2698e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
BIN1,274,-0.049,-0.295 to 0.198,8.098,6.9384e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
BIN1,274,-0.041,-0.272 to 0.191,8.561,7.2652e-01,9.9979e-01,MSBB,Amygdala,B2-B1,Braak
BIN1,274,-0.082,-0.371 to 0.207,8.43,5.7323e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
BIN1,274,-0.081,-0.394 to 0.232,8.384,6.0525e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
BIN1,274,-0.049,-0.273 to 0.174,4.874,6.6034e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
BIN1,274,-0.054,-0.301 to 0.192,8.098,6.6074e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
BIN1,274,-0.014,-0.245 to 0.217,8.561,9.0548e-01,9.9867e-01,MSBB,Amygdala,B3-B1,Braak
BIN1,274,0.059,-0.249 to 0.367,8.384,7.0463e-01,9.4378e-01,MSBB,Amygdala,B3-B2,Braak
BIN1,274,0.027,-0.201 to 0.254,8.561,8.1442e-01,9.6833e-01,MSBB,Amygdala,B3-B2,Braak
BIN1,274,0.005,-0.215 to 0.226,4.874,9.6218e-01,9.9543e-01,MSBB,Amygdala,B3-B2,Braak
BIN1,274,-0.006,-0.248 to 0.237,8.098,9.6326e-01,9.9543e-01,MSBB,Amygdala,B3-B2,Braak
BIN1,274,-0.004,-0.289 to 0.28,8.43,9.7523e-01,9.9728e-01,MSBB,Amygdala,B3-B2,Braak
BIN1,274,-0.249,-0.506 to 0.007,8.391,5.6497e-02,8.1647e-01,MSBB,Amygdala,AD-NCI,CDR
BIN1,274,-0.194,-0.433 to 0.045,8.437,1.0926e-01,8.3959e-01,MSBB,Amygdala,AD-NCI,CDR
BIN1,274,-0.131,-0.315 to 0.053,4.874,1.5994e-01,8.6734e-01,MSBB,Amygdala,AD-NCI,CDR
BIN1,274,-0.133,-0.325 to 0.059,8.567,1.7122e-01,8.7341e-01,MSBB,Amygdala,AD-NCI,CDR
BIN1,274,-0.141,-0.347 to 0.066,8.107,1.7751e-01,8.7426e-01,MSBB,Amygdala,AD-NCI,CDR
BIN1,274,-0.132,-0.422 to 0.158,4.874,3.6654e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
BIN1,274,-0.156,-0.536 to 0.225,8.437,4.1519e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
BIN1,274,-0.099,-0.426 to 0.229,8.107,5.4800e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
BIN1,274,-0.104,-0.519 to 0.31,8.391,6.1611e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
BIN1,274,-0.047,-0.353 to 0.258,8.567,7.5630e-01,9.9998e-01,MSBB,Amygdala,C1-C0,CERAD
BIN1,274,-0.1,-0.451 to 0.251,8.391,5.7074e-01,9.9992e-01,MSBB,Amygdala,C2-C0,CERAD
